Country,Location,MHA_Code,Rank,Rent_With_Dependents,Rent_Without_Dependents,Utility,MIHA,Exchange_Rate,Effective_Date
Argentina,BUENOS AIRES,12,O3,5916737.0,5325063.3,0.0,73170.0,0.000657,16 NOVEMBER 2025
Argentina,BUENOS AIRES,12,W2,5916737.0,5325063.3,0.0,73170.0,0.000657,16 NOVEMBER 2025
Argentina,BUENOS AIRES,12,O2E,5916737.0,5325063.3,0.0,73170.0,0.000657,16 NOVEMBER 2025
Argentina,BUENOS AIRES,12,O1E,5916737.0,5325063.3,0.0,73170.0,0.000657,16 NOVEMBER 2025
Argentina,BUENOS AIRES,12,O2,5302379.0,4772141.1,0.0,73170.0,0.000657,16 NOVEMBER 2025
Argentina,BUENOS AIRES,12,W1,5302379.0,4772141.1,0.0,73170.0,0.000657,16 NOVEMBER 2025
Argentina,BUENOS AIRES,12,O1,5302379.0,4772141.1,0.0,73170.0,0.000657,16 NOVEMBER 2025
Argentina,OTHER,999,O6,4868639.0,4381775.1,0.0,73170.0,0.000657,16 NOVEMBER 2025
Argentina,OTHER,999,O5,4868639.0,4381775.1,0.0,73170.0,0.000657,16 NOVEMBER 2025
Argentina,OTHER,999,W5,4868639.0,4381775.1,0.0,73170.0,0.000657,16 NOVEMBER 2025
Argentina,OTHER,999,O4,4868639.0,4381775.1,0.0,73170.0,0.000657,16 NOVEMBER 2025
Argentina,OTHER,999,W3,4868639.0,4381775.1,0.0,73170.0,0.000657,16 NOVEMBER 2025
Argentina,OTHER,999,W4,4868639.0,4381775.1,0.0,73170.0,0.000657,16 NOVEMBER 2025
Argentina,OTHER,999,O3E,4868639.0,4381775.1,0.0,73170.0,0.000657,16 NOVEMBER 2025
Argentina,OTHER,999,O3,3042916.0,2738624.4,0.0,73170.0,0.000657,16 NOVEMBER 2025
Argentina,OTHER,999,W2,3042916.0,2738624.4,0.0,73170.0,0.000657,16 NOVEMBER 2025
Argentina,OTHER,999,O2E,3042916.0,2738624.4,0.0,73170.0,0.000657,16 NOVEMBER 2025
Argentina,OTHER,999,O1E,3042916.0,2738624.4,0.0,73170.0,0.000657,16 NOVEMBER 2025
Argentina,OTHER,999,O2,3042916.0,2738624.4,0.0,73170.0,0.000657,16 NOVEMBER 2025
Argentina,OTHER,999,W1,3042916.0,2738624.4,0.0,73170.0,0.000657,16 NOVEMBER 2025
Argentina,OTHER,999,O1,3042916.0,2738624.4,0.0,73170.0,0.000657,16 NOVEMBER 2025
Argentina,BUENOS AIRES,12,E9,6542250.0,5888025.0,0.0,73170.0,0.000657,16 NOVEMBER 2025
Argentina,BUENOS AIRES,12,E8,5916737.0,5325063.3,0.0,73170.0,0.000657,16 NOVEMBER 2025
Argentina,BUENOS AIRES,12,E7,5916737.0,5325063.3,0.0,73170.0,0.000657,16 NOVEMBER 2025
Argentina,BUENOS AIRES,12,E6,5916737.0,5325063.3,0.0,73170.0,0.000657,16 NOVEMBER 2025
Argentina,BUENOS AIRES,12,E5,5302379.0,4772141.1,0.0,73170.0,0.000657,16 NOVEMBER 2025
Argentina,BUENOS AIRES,12,E4,4612155.0,4150939.5,0.0,73170.0,0.000657,16 NOVEMBER 2025
Argentina,BUENOS AIRES,12,E3,4612155.0,4150939.5,0.0,73170.0,0.000657,16 NOVEMBER 2025
Argentina,BUENOS AIRES,12,E2,4612155.0,4150939.5,0.0,73170.0,0.000657,16 NOVEMBER 2025
Argentina,BUENOS AIRES,12,E1,4612155.0,4150939.5,0.0,73170.0,0.000657,16 NOVEMBER 2025
Argentina,OTHER,999,E9,4868639.0,4381775.1,0.0,73170.0,0.000657,16 NOVEMBER 2025
Argentina,OTHER,999,E8,3042916.0,2738624.4,0.0,73170.0,0.000657,16 NOVEMBER 2025
Argentina,OTHER,999,E7,3042916.0,2738624.4,0.0,73170.0,0.000657,16 NOVEMBER 2025
Argentina,OTHER,999,E6,3042916.0,2738624.4,0.0,73170.0,0.000657,16 NOVEMBER 2025
Argentina,OTHER,999,E5,3042916.0,2738624.4,0.0,73170.0,0.000657,16 NOVEMBER 2025
Argentina,OTHER,999,E4,2648118.0,2383306.2,0.0,73170.0,0.000657,16 NOVEMBER 2025
Argentina,OTHER,999,E3,2648118.0,2383306.2,0.0,73170.0,0.000657,16 NOVEMBER 2025
Argentina,OTHER,999,E2,2648118.0,2383306.2,0.0,73170.0,0.000657,16 NOVEMBER 2025
Argentina,OTHER,999,E1,2648118.0,2383306.2,0.0,73170.0,0.000657,16 NOVEMBER 2025
Armenia,ARMENIA,999,O6,1800.0,1620.0,250.0,0.0,0.002632,01 AUGUST 2025
Armenia,ARMENIA,999,O5,1800.0,1620.0,250.0,0.0,0.002632,01 AUGUST 2025
Armenia,ARMENIA,999,W5,1800.0,1620.0,250.0,0.0,0.002632,01 AUGUST 2025
Armenia,ARMENIA,999,O4,1800.0,1620.0,250.0,0.0,0.002632,01 AUGUST 2025
Armenia,ARMENIA,999,W3,1800.0,1620.0,250.0,0.0,0.002632,01 AUGUST 2025
Armenia,ARMENIA,999,W4,1800.0,1620.0,250.0,0.0,0.002632,01 AUGUST 2025
Armenia,ARMENIA,999,O3E,1800.0,1620.0,250.0,0.0,0.002632,01 AUGUST 2025
Armenia,ARMENIA,999,O3,1800.0,1620.0,250.0,0.0,0.002632,01 AUGUST 2025
Armenia,ARMENIA,999,W2,1800.0,1620.0,250.0,0.0,0.002632,01 AUGUST 2025
Armenia,ARMENIA,999,O2E,1800.0,1620.0,250.0,0.0,0.002632,01 AUGUST 2025
Armenia,ARMENIA,999,O1E,1800.0,1620.0,250.0,0.0,0.002632,01 AUGUST 2025
Armenia,ARMENIA,999,O2,1800.0,1620.0,250.0,0.0,0.002632,01 AUGUST 2025
Armenia,ARMENIA,999,W1,1800.0,1620.0,250.0,0.0,0.002632,01 AUGUST 2025
Armenia,ARMENIA,999,O1,1800.0,1620.0,250.0,0.0,0.002632,01 AUGUST 2025
Armenia,ARMENIA,999,E9,1800.0,1620.0,250.0,0.0,0.002632,01 AUGUST 2025
Armenia,ARMENIA,999,E8,1800.0,1620.0,250.0,0.0,0.002632,01 AUGUST 2025
Armenia,ARMENIA,999,E7,1800.0,1620.0,250.0,0.0,0.002632,01 AUGUST 2025
Armenia,ARMENIA,999,E6,1800.0,1620.0,250.0,0.0,0.002632,01 AUGUST 2025
Armenia,ARMENIA,999,E5,1800.0,1620.0,250.0,0.0,0.002632,01 AUGUST 2025
Armenia,ARMENIA,999,E4,1667.0,1500.3,250.0,0.0,0.002632,01 AUGUST 2025
Armenia,ARMENIA,999,E3,1667.0,1500.3,250.0,0.0,0.002632,01 AUGUST 2025
Armenia,ARMENIA,999,E2,1667.0,1500.3,250.0,0.0,0.002632,01 AUGUST 2025
Armenia,ARMENIA,999,E1,1667.0,1500.3,250.0,0.0,0.002632,01 AUGUST 2025
Australia,ADELAIDE,23,O6,3288.0,2959.2,873.0,1239.0,0.65703,16 NOVEMBER 2025
Australia,ADELAIDE,23,O5,3044.0,2739.6,873.0,1239.0,0.65703,16 NOVEMBER 2025
Australia,ADELAIDE,23,W5,3044.0,2739.6,873.0,1239.0,0.65703,16 NOVEMBER 2025
Australia,ADELAIDE,23,O4,2819.0,2537.1,873.0,1239.0,0.65703,16 NOVEMBER 2025
Australia,ADELAIDE,23,W3,2819.0,2537.1,873.0,1239.0,0.65703,16 NOVEMBER 2025
Australia,ADELAIDE,23,W4,2819.0,2537.1,873.0,1239.0,0.65703,16 NOVEMBER 2025
Australia,ADELAIDE,23,O3E,2819.0,2537.1,873.0,1239.0,0.65703,16 NOVEMBER 2025
Australia,ADELAIDE,23,O3,2658.0,2392.2,873.0,1239.0,0.65703,16 NOVEMBER 2025
Australia,ADELAIDE,23,W2,2658.0,2392.2,873.0,1239.0,0.65703,16 NOVEMBER 2025
Australia,ADELAIDE,23,O2E,2658.0,2392.2,873.0,1239.0,0.65703,16 NOVEMBER 2025
Australia,ADELAIDE,23,O1E,2658.0,2392.2,873.0,1239.0,0.65703,16 NOVEMBER 2025
Australia,ADELAIDE,23,O2,2416.0,2174.4,873.0,1239.0,0.65703,16 NOVEMBER 2025
Australia,ADELAIDE,23,W1,2416.0,2174.4,873.0,1239.0,0.65703,16 NOVEMBER 2025
Australia,ADELAIDE,23,O1,2416.0,2174.4,873.0,1239.0,0.65703,16 NOVEMBER 2025
Australia,ALICE SPRINGS,1,O6,2884.0,2595.6,873.0,1239.0,0.65703,16 NOVEMBER 2025
Australia,ALICE SPRINGS,1,O5,2884.0,2595.6,873.0,1239.0,0.65703,16 NOVEMBER 2025
Australia,ALICE SPRINGS,1,W5,2884.0,2595.6,873.0,1239.0,0.65703,16 NOVEMBER 2025
Australia,ALICE SPRINGS,1,O4,2884.0,2595.6,873.0,1239.0,0.65703,16 NOVEMBER 2025
Australia,ALICE SPRINGS,1,W3,2884.0,2595.6,873.0,1239.0,0.65703,16 NOVEMBER 2025
Australia,ALICE SPRINGS,1,W4,2884.0,2595.6,873.0,1239.0,0.65703,16 NOVEMBER 2025
Australia,ALICE SPRINGS,1,O3E,2884.0,2595.6,873.0,1239.0,0.65703,16 NOVEMBER 2025
Australia,ALICE SPRINGS,1,O3,2884.0,2595.6,873.0,1239.0,0.65703,16 NOVEMBER 2025
Australia,ALICE SPRINGS,1,W2,2884.0,2595.6,873.0,1239.0,0.65703,16 NOVEMBER 2025
Australia,ALICE SPRINGS,1,O2E,2884.0,2595.6,873.0,1239.0,0.65703,16 NOVEMBER 2025
Australia,ALICE SPRINGS,1,O1E,2884.0,2595.6,873.0,1239.0,0.65703,16 NOVEMBER 2025
Australia,ALICE SPRINGS,1,O2,2607.0,2346.3,873.0,1239.0,0.65703,16 NOVEMBER 2025
Australia,ALICE SPRINGS,1,W1,2607.0,2346.3,873.0,1239.0,0.65703,16 NOVEMBER 2025
Australia,ALICE SPRINGS,1,O1,2607.0,2346.3,873.0,1239.0,0.65703,16 NOVEMBER 2025
Australia,BRISBANE,39,O6,4200.0,3780.0,873.0,1239.0,0.65703,16 NOVEMBER 2025
Australia,BRISBANE,39,O5,4200.0,3780.0,873.0,1239.0,0.65703,16 NOVEMBER 2025
Australia,BRISBANE,39,W5,4200.0,3780.0,873.0,1239.0,0.65703,16 NOVEMBER 2025
Australia,BRISBANE,39,O4,4200.0,3780.0,873.0,1239.0,0.65703,16 NOVEMBER 2025
Australia,BRISBANE,39,W3,4200.0,3780.0,873.0,1239.0,0.65703,16 NOVEMBER 2025
Australia,BRISBANE,39,W4,4200.0,3780.0,873.0,1239.0,0.65703,16 NOVEMBER 2025
